Vivado Simulator 2019.1
Time resolution is 1 ps
Time=775000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=785000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=795000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=805000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=815000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=825000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=835000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=845000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=855000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=865000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=875000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=885000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
